name,name_cn,date,bgm_id,douban_id,bili_id,anidb_id,mal_id,tmdb_id,imdb_id,tvdb_id,wikidata_id
名探偵コナン MAGIC FILE4 大阪お好み焼きオデッセイ,名侦探柯南 MAGIC FILE 4 ～通往大阪什锦煎饼的艰辛之路～,2010-04,38127,4824966,,7537,8331,movie/1326135,tt18266264,72454,
名探偵コナン MAGIC FILE3 新一と蘭・麻雀牌と七夕の思い出,名侦探柯南 MAGIC FILE 3 ～新一与小兰·麻将牌与七夕的回忆～,2009-04,38128,3757362,,7232,6231,,,72454,
名探偵コナン MAGIC FILE2 工藤新一 謎の壁と黒ラブ事件,名侦探柯南 MAGIC FILE 2 ～工藤新一 谜之墙壁与黑色拉布犬事件～,2008-04,38129,4111360,,7252,5348,movie/1230946,,72454,
名探偵コナン BONUS FILE ファンタジスタの花,名侦探柯南 BONUS FILE 幻想曲之花,2012-04,38131,10606003,,9181,13837,movie/1084315,,72454,
名探偵コナン えくすかりばあの奇跡,名侦探柯南 传说中的球棒的奇迹,2012-04,38132,10767549,,9152,13839,,tt12622500,72454,
創世機士ガイアース,创世机士格亚斯,1992-04,38163,4117408,,2889,2068,movie/411107,tt0158632,83259,
Ultimate Spider-Man (Season 1),终极蜘蛛侠 第一季,2012-04,38212,5325327,,,,tv/34391/season/1,tt1722512,257645,Q401601
高橋留美子劇場,高桥留美子剧场,2003-07,38216,2372744,md1970,847,2486,,,85067,
MUNTO,蒙特,2003-03,38217,2296013,,738,1174,movie/63420,tt1356921,84932,
ご近所物語,近所物语,1995-09,38226,1770834,md2315,1387,852,,,174401,
星をかった日,种下星星的日子,2006-01,38227,1940452,,4104,6463,movie/222661,tt0756217,,Q2631210
聖闘士星矢 LEGEND of SANCTUARY,圣斗士星矢 圣域传说,2014-06,38228,10480973,,8279,10687,movie/287590,tt2231489,72775,Q7402171
THE MOON-月がほしいと王女さまが泣いた,,,38229,5353330,,,,,,,
マクロスプラス MOVIE EDITION,超时空要塞Plus 剧场版,1995-10,38256,6900119,md3562,3392,1211,movie/18837,tt2330912,81832,
CAROL,卡罗尔,1990-03,38312,10757577,md3279,4001,2054,movie/258480,tt2402927,,Q15963780
ジョジョの奇妙な冒険,JOJO的奇妙冒险,1993-11,38326,25741310,,788,666,,,83950,
BRAVO东东,,2004-10,38361,2993081,,,,,,,
VAMPIRE HUNTER The Animated Series,恶魔战士,1997-03,38422,4006594,,59,1952,,,82119,
バトルファイターズ 餓狼伝説,饿狼传说,1992-12,38424,,,220,1799,,,,
バトルファイターズ 餓狼伝説2,饿狼传说2,1993-07,38425,,,2121,1800,,,,
餓狼伝説 THE MOTION PICTURE,饿狼传说 剧场版,1994-07,38426,,,873,504,movie/28697,tt0109872,,Q2080442
バトルスピリッツ 龍虎の拳,龙虎之拳,1993-12,38427,,,1068,1009,movie/96926,tt0167006,,Q3285263
Afro Samurai: Resurrection,爆炸头武士：复活,2009-01,38428,3195086,,6063,4970,movie/14711,tt1265998,79755,Q14936043
爆丸バトルブローラーズ,爆丸,2007-04,38429,2330855,md4790,5098,2156,,,82832,
Afro Samurai 劇場版,爆炸头武士 剧场版,2007-10,38430,6873264,,,,,,,
クラッシュギアNitro,新激斗战车Nitro,2003-02,38431,5975167,,714,7048,,,250577,
パンツァードラグーン,装甲龙骑兵,1996-10,38433,5151897,,1482,2792,,,,
BUTA,侠猪布塔,2012-03,38434,10574473,md4606,8467,13169,,,259863,
機動戦士ガンダム,机动战士高达 剧场版I,1981-03,38435,1766999,,729,1090,movie/39228,tt0159509,,Q109651419
機動戦士ガンダムII 哀・戦士編,机动战士高达 剧场版II 哀・战士,1981-07,38436,1767002,,4166,1091,movie/39229,tt0159510,,Q109651421
機動戦士ガンダムIII めぐりあい宇宙編,机动战士高达 剧场版III 相逢在宇宙,1982-03,38437,1767005,,4167,1092,movie/39230,tt0159511,,Q109651422
CLAMP IN WONDERLAND,CLAMP仙境,1994-11,38470,5989590,,1550,2274,,,,
デルトラクエスト,拯救德尔托拉,2007-01,38536,2053607,,4595,1826,,,83292,
幽☆遊☆白書 映像白書～暗黒武術会の章～,幽游白书 映像白书~暗黑武术会之章~,1994-09,38629,36923728,,,,,,,
宇宙海賊キャプテンハーロック,宇宙海盗哈洛克,1978-03,38639,3678899,,725,1000,tv/31714/season/1,tt0182646,80886,Q119244848
SPACE PIRATE CAPTAIN HERLOCK,宇宙海盗哈洛克 无尽的冒险,2003-10,38640,4206033,,533,1081,,,81506,
地球へ…,奔向地球,1980-04,38646,4730658,,1416,2560,movie/66628,tt0081648,80241,
東京大学物語DX,东京大学物语,2004-02,38686,3032877,,2788,1053,,,395530,
Lilo & Stitch,星际宝贝,2002-06,38695,1307547,,,,movie/11544,tt0275847,,Q36092
Stitch! The Movie,星际宝贝史迪奇,2003-08,38698,1401603,,,,movie/15567,tt0348124,,Q1468857
Lilo & Stitch 2: Stitch Has a Glitch,星际宝贝2：史迪奇有问题,2005-08,38699,1423031,,,,movie/20760,tt0457993,,Q1122127
Leroy & Stitch,星际宝贝：终极任务,2006-07,38700,1823218,,,,movie/21316,tt0486761,,Q1069050
Lilo & Stitch: The Series,星际宝贝TV版,2003-09,38701,1307547,,,,movie/11544,tt0275847,,Q36092
スティッチ!,星际宝贝！神奇大冒险,2008-10,38702,33413499,,6055,5027,,,98661,
スティッチ! 〜いたずらエイリアンの大冒険〜,星际宝贝！外星大冒险,2009-10,38703,33413499,,7079,6899,,,98661,
スティッチ! 〜ずっと最高のトモダチ〜,星际宝贝！～一直最高的朋友～,2010-07,38704,4881672,,7570,8964,,,98661,
Code Lyoko Saison 1,至net奇兵 第一季,2003-09,38711,,,,,,,,
真魔神英雄伝ワタル 魔神山編,真魔神英雄传 魔神山篇,1989-08,38722,3773947,md4000,5795,9403,,,227501,
魔神英雄伝ワタル 終わりなき時の物語,魔神英雄传 永恒传说,1993-10,38723,3773948,md4001,5755,7601,,,227501,
TYLOR THE IRRESPONSIBLE CAPTAIN,无责任舰长OVA,1995-09,38730,5349412,md3997,8732,,,,71279,
TYLOR The Irresponsible Captain AN EXCEPTIONAL EPISODE ひとりぼっちの戦争 Tylor's War,无责任舰长 特别篇 孤独一人的战争,1994-10,38731,5178140,md3996,71,,,,71279,
イナズマイレブンGO クロノ・ストーン,闪电十一人GO 时空之石,2012-04,38758,10600272,md4204858,9045,13261,,,146401,
天上天下 ULTIMATE FIGHT,天上天下 终极格斗,2005-03,38766,5942166,md3919,2784,448,,,78974,
キューティーハニーF,甜心战士F,1997-02,38774,3545507,,1238,1853,,,258511,
爆炎CAMPUSガ－ドレス,爆炎学院,1994-05,38901,3993254,,1690,2023,,,106541,
あばしり一家,亚马尻一家,1991-05,38902,5413769,,1317,305,tv/122517/season/1,tt0122369,111431,
カリフォルニア・クライシス 追撃の銃火,加州危机,1986-07,38903,5031412,md5273,4434,3127,,,,
今童王世界,,,38904,11524482,,,,,,,
地铁大逃杀,地铁大逃杀,2012-04,38907,10599841,,,,,,,
